entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,signal_types,exit_reason,period,trade_id
2012-06-28,2012-07-05,104.767,107.8045,234,710.78,13.4559,13.8234,27.2793,False,4,"PRE_HOLIDAY,TOM",CALENDAR,IS,94
2012-07-16,2012-07-19,106.8497,108.5453,236,400.17,13.8162,14.0314,27.8476,False,3,OEX,CALENDAR,IS,95
2012-07-30,2012-08-03,109.4137,109.8221,234,95.58,13.9942,14.0583,28.0525,False,4,TOM,CALENDAR,IS,96
2012-08-13,2012-08-16,111.0625,111.9028,232,194.95,14.0658,14.1779,28.2437,False,3,OEX,CALENDAR,IS,97
2012-08-30,2012-09-06,110.8417,113.3058,234,576.6,14.1543,14.4574,28.6118,False,4,"PRE_HOLIDAY,TOM",CALENDAR,IS,98
2012-09-17,2012-09-20,115.7725,115.6229,229,-34.26,14.4195,14.4162,28.8357,False,3,OEX,CALENDAR,IS,99
2012-09-27,2012-10-03,114.7248,114.9565,231,53.52,14.4249,14.4652,28.8901,False,4,TOM,CALENDAR,IS,100
2012-10-15,2012-10-18,114.2807,115.535,232,290.99,14.4291,14.5916,29.0207,False,3,OEX,CALENDAR,IS,101
2012-10-26,2012-11-05,112.1154,112.3893,239,65.46,14.6105,14.6595,29.27,False,4,TOM,CALENDAR,IS,102
2012-11-12,2012-11-15,109.6725,107.5164,245,-528.26,14.6845,14.4319,29.1164,False,3,OEX,CALENDAR,IS,103
2012-11-20,2012-11-21,110.4022,110.4877,239,20.41,14.4124,14.4374,28.8498,False,1,PRE_HOLIDAY,CALENDAR,IS,104
2012-11-29,2012-12-05,112.7262,112.112,234,-143.73,14.3848,14.3246,28.7095,False,4,TOM,CALENDAR,IS,105
2012-12-17,2012-12-20,114.0348,114.9803,230,217.48,14.2806,14.4013,28.6819,False,3,OEX,CALENDAR,IS,106
2012-12-21,2012-12-24,114.0608,113.5855,232,-110.25,14.404,14.3635,28.7675,False,1,PRE_HOLIDAY,CALENDAR,IS,107
2012-12-28,2013-01-04,111.8562,116.7932,236,1165.14,14.393,15.001,29.394,False,4,"PRE_HOLIDAY,TOM",CALENDAR,IS,108
2013-01-14,2013-01-18,117.3996,118.3573,234,224.09,14.9303,15.0553,29.9856,False,4,"OEX,PRE_HOLIDAY",CALENDAR,IS,109
2013-01-30,2013-02-05,119.8758,120.5278,231,150.61,15.0172,15.1033,30.1205,False,4,TOM,CALENDAR,IS,110
2013-02-11,2013-02-15,121.2336,121.3736,230,32.2,15.1032,15.1339,30.2371,False,4,"OEX,PRE_HOLIDAY",CALENDAR,IS,111
2013-02-27,2013-03-05,121.3455,123.1131,230,406.55,15.1273,15.3442,30.4715,False,4,TOM,CALENDAR,IS,112
2013-03-11,2013-03-14,124.6364,125.0602,227,96.2,15.3015,15.3648,30.6663,False,3,OEX,CALENDAR,IS,113
2013-03-27,2013-04-03,125.3191,124.4141,227,-205.42,15.3702,15.2845,30.6548,False,4,TOM,CALENDAR,IS,114
2013-04-15,2013-04-18,124.4607,123.5405,227,-208.88,15.2845,15.1986,30.4831,False,3,OEX,CALENDAR,IS,115
2013-04-29,2013-05-03,127.8144,129.3354,219,333.11,15.1163,15.2993,30.4156,False,4,TOM,CALENDAR,IS,116
2013-05-13,2013-05-16,131.2162,132.5175,216,281.09,15.2703,15.4205,30.6908,False,3,OEX,CALENDAR,IS,117
2013-05-23,2013-05-24,132.7486,132.4935,216,-55.1,15.4313,15.4188,30.8501,False,1,PRE_HOLIDAY,CALENDAR,IS,118
2013-05-30,2013-06-05,133.0534,129.2553,215,-816.59,15.391,15.0013,30.3923,False,4,TOM,CALENDAR,IS,119
2013-06-17,2013-06-20,131.9382,127.7565,210,-878.17,14.9229,14.503,29.4259,False,3,"OEX,PRE_HOLIDAY",CALENDAR,IS,120
2013-06-27,2013-07-03,129.9263,129.9473,207,4.35,14.508,14.5229,29.031,False,4,"PRE_HOLIDAY,TOM",CALENDAR,IS,121
2013-07-15,2013-07-18,135.6287,136.063,198,86.0,14.4393,14.4952,28.9345,False,3,OEX,CALENDAR,IS,122
2013-07-30,2013-08-05,135.9835,137.5376,198,307.71,14.4622,14.6312,29.0934,False,4,TOM,CALENDAR,IS,123
2013-08-12,2013-08-15,136.403,134.0567,200,-469.24,14.6487,14.4321,29.0808,False,3,OEX,CALENDAR,IS,124
2013-08-29,2013-09-05,132.4185,133.7183,202,262.54,14.4003,14.5473,28.9476,False,4,"PRE_HOLIDAY,TOM",CALENDAR,IS,125
2013-09-16,2013-09-19,137.3708,139.1974,197,359.84,14.5317,14.7257,29.2574,False,3,OEX,CALENDAR,IS,126
2013-09-27,2013-10-03,136.9057,135.7142,200,-238.3,14.7025,14.5994,29.3019,False,4,TOM,CALENDAR,IS,127
2013-10-14,2013-10-17,138.551,140.2484,196,332.68,14.5777,14.7605,29.3382,False,3,OEX,CALENDAR,IS,128
2013-10-30,2013-11-05,142.8872,142.7179,192,-32.5,14.6975,14.6912,29.3886,False,4,TOM,CALENDAR,IS,129
2013-11-11,2013-11-14,143.722,145.147,191,272.18,14.6963,14.8453,29.5416,False,3,OEX,CALENDAR,IS,130
2013-11-26,2013-12-04,146.4452,145.5195,189,-174.97,14.7983,14.7256,29.5239,False,5,"PRE_HOLIDAY,TOM",CALENDAR,IS,131
2013-12-16,2013-12-19,145.2619,146.9445,190,319.7,14.762,14.9409,29.7029,False,3,OEX,CALENDAR,IS,132
2013-12-23,2013-12-24,148.7479,148.9146,187,31.17,14.8579,14.8886,29.7465,False,1,PRE_HOLIDAY,CALENDAR,IS,133
2013-12-30,2014-01-06,149.7991,148.4505,186,-250.83,14.8767,14.7673,29.644,False,4,"PRE_HOLIDAY,TOM",CALENDAR,IS,134
2014-01-13,2014-01-17,148.0633,149.4925,187,267.26,14.7947,14.9417,29.7364,False,4,"OEX,PRE_HOLIDAY",CALENDAR,IS,135
2014-01-30,2014-02-05,146.0587,142.5973,191,-661.14,14.925,14.6103,29.5353,False,4,TOM,CALENDAR,IS,136
2014-02-13,2014-02-14,149.1391,149.8019,183,121.3,14.585,14.6606,29.2457,False,1,PRE_HOLIDAY,CALENDAR,IS,137
2014-02-18,2014-02-20,150.1413,149.867,182,-49.93,14.5968,14.5865,29.1833,False,2,OEX,CALENDAR,IS,138
2014-02-27,2014-03-05,151.4289,152.8384,181,255.12,14.6283,14.7644,29.3928,False,4,TOM,CALENDAR,IS,139
2014-03-17,2014-03-20,151.8444,152.8384,182,180.91,14.7405,14.8458,29.5863,False,3,OEX,CALENDAR,IS,140
2014-03-28,2014-04-03,151.827,154.2326,183,440.22,14.821,15.055,29.876,False,4,TOM,CALENDAR,IS,141
2014-04-14,2014-04-17,149.74,152.401,188,500.27,15.0371,15.3037,30.3408,False,3,OEX,CALENDAR,IS,142
2014-04-29,2014-05-05,153.6769,154.0608,187,71.79,15.3272,15.3766,30.7038,False,4,TOM,CALENDAR,IS,143
2014-05-12,2014-05-15,155.3465,153.2268,185,-392.15,15.3068,15.1258,30.4327,False,3,OEX,CALENDAR,IS,144
2014-05-22,2014-05-23,155.1828,155.639,183,83.47,15.1283,15.1841,30.3123,False,1,PRE_HOLIDAY,CALENDAR,IS,145
2014-05-29,2014-06-04,157.4582,157.9612,181,91.04,15.169,15.2279,30.3969,False,4,TOM,CALENDAR,IS,146
2014-06-16,2014-06-19,159.0298,160.6513,180,291.88,15.2229,15.3817,30.6045,False,3,"OEX,PRE_HOLIDAY",CALENDAR,IS,147
2014-06-27,2014-07-03,161.05,162.8343,179,319.38,15.3169,15.4928,30.8097,False,4,"PRE_HOLIDAY,TOM",CALENDAR,IS,148
2014-07-14,2014-07-17,162.5139,160.7885,180,-310.58,15.5356,15.3982,30.9338,False,3,OEX,CALENDAR,IS,149
2014-07-30,2014-08-05,162.0041,157.7486,178,-757.47,15.3217,14.9632,30.285,False,4,TOM,CALENDAR,IS,150
2014-08-11,2014-08-14,159.3889,160.8295,176,253.56,14.9254,15.0676,29.993,False,3,OEX,CALENDAR,IS,151
2014-08-28,2014-09-04,164.6029,164.4857,172,-20.16,15.0281,15.0304,30.0585,False,4,"PRE_HOLIDAY,TOM",CALENDAR,IS,152
2014-09-15,2014-09-18,163.6489,165.8085,173,373.6,15.0293,15.2302,30.2594,False,3,OEX,CALENDAR,IS,153
2014-09-29,2014-10-03,163.224,162.2088,176,-178.69,15.2591,15.1874,30.4464,False,4,TOM,CALENDAR,IS,154
2014-10-13,2014-10-16,154.8541,153.7481,184,-203.52,15.1927,15.102,30.2946,False,3,OEX,CALENDAR,IS,155
2014-10-30,2014-11-05,164.7444,167.0127,172,390.14,15.053,15.2609,30.314,False,4,TOM,CALENDAR,IS,156
2014-11-17,2014-11-20,168.8673,169.6871,170,139.37,15.2193,15.2976,30.517,False,3,OEX,CALENDAR,IS,157
