ticker,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,total_cost,pnl,exit_type,hold_trading_days,atr_stop,liquidity_constrained
SPY,2010-12-07,2010-12-13,93.8191,94.2885,354.8288,166.5348,6.9784,159.5564,time,4,91.3968,False
QQQ,2010-12-07,2010-12-13,47.5965,47.4218,697.1718,-121.7796,10.5183,-132.2979,time,4,46.1617,False
IWM,2010-12-09,2010-12-15,62.2505,62.2425,532.4047,-4.2997,8.8751,-13.1748,time,4,60.3203,False
SPY,2010-12-20,2010-12-27,94.8452,95.6138,351.0395,269.7886,6.9251,262.8635,time,4,93.1503,False
SPY,2011-01-12,2011-01-19,97.5618,97.5922,342.163,10.4111,6.8113,3.5998,time,4,96.2421,False
IWM,2011-01-12,2011-01-19,64.8526,63.7088,513.6757,-587.5773,8.6402,-596.2175,time,4,63.164,False
QQQ,2011-01-26,2011-02-01,49.5372,49.9222,669.8903,257.9284,10.212,247.7165,time,4,48.4596,False
IWM,2011-03-03,2011-03-09,66.3373,66.5888,501.4839,126.121,8.6059,117.5151,time,4,64.1932,False
SPY,2011-03-21,2011-03-25,98.8569,100.3472,336.9138,502.0994,6.8178,495.2816,time,4,95.4783,False
IWM,2011-03-21,2011-03-25,65.2907,66.8416,508.0147,787.8472,8.6918,779.1553,time,4,62.5312,False
SPY,2011-04-01,2011-04-07,101.9598,101.891,330.8271,-22.7639,6.758,-29.522,time,4,99.3748,False
QQQ,2011-04-01,2011-04-07,50.5798,50.1416,665.4993,-291.5915,10.2196,-301.8111,time,4,48.9959,False
IWM,2011-04-01,2011-04-07,68.9146,68.9959,487.5997,39.6544,8.4264,31.2279,time,4,66.7562,False
SPY,2011-04-20,2011-04-27,101.5547,103.687,331.1615,706.1113,6.7698,699.3415,time,4,99.6834,False
QQQ,2011-04-20,2011-04-27,50.4746,51.8942,663.6489,942.1093,10.2116,931.8977,time,4,49.2716,False
IWM,2011-04-20,2011-04-27,67.8822,69.6625,490.5838,873.4137,8.4727,864.941,time,4,65.988,False
SPY,2011-05-02,2011-05-04,104.757,102.8321,328.9813,-633.2351,6.7647,-639.9997,stop,2,102.8321,False
SPY,2011-05-31,2011-06-01,102.9992,100.7064,332.5245,-762.4016,6.7864,-769.188,stop,1,100.7064,False
IWM,2011-05-31,2011-06-02,68.7845,66.4734,494.7935,-1143.5229,8.533,-1152.0559,stop,2,66.4734,False
QQQ,2011-05-31,2011-06-03,50.7989,49.5545,672.0992,-836.3166,10.325,-846.6416,stop,3,49.5545,False
QQQ,2011-06-14,2011-06-16,48.2489,47.6004,690.734,-447.9046,10.4747,-458.3793,trend_break,2,47.0596,False
IWM,2011-06-30,2011-07-07,66.9961,69.8393,495.1683,1407.9003,8.5539,1399.3463,time,4,64.5897,False
SPY,2011-07-21,2011-07-27,102.4576,100.3071,328.3385,-706.1061,6.6979,-712.8039,time,4,99.8836,False
QQQ,2011-10-12,2011-10-18,50.0305,51.0248,667.6557,663.8315,10.4034,653.4281,time,4,47.1131,False
QQQ,2011-12-02,2011-12-08,50.4529,49.3794,666.3838,-715.3385,10.4024,-725.7409,time,4,48.3939,False
SPY,2011-12-23,2011-12-30,97.6352,97.5032,341.8752,-45.1516,6.8778,-52.0293,time,4,94.1934,False
SPY,2012-01-10,2012-01-17,100.5254,100.4865,331.8737,-12.8899,6.7557,-19.6456,time,4,98.0359,False
QQQ,2012-01-12,2012-01-19,51.4851,52.8718,647.6495,898.1044,10.1356,887.9689,time,4,50.2475,False
IWM,2012-01-12,2012-01-19,63.1642,64.324,527.4788,611.7722,8.9264,602.8458,time,4,61.1969,False
SPY,2012-02-03,2012-02-09,104.107,105.1636,325.1666,343.5711,6.7094,336.8617,time,4,101.8772,False
QQQ,2012-02-03,2012-02-09,54.5676,55.5657,618.3125,617.1144,9.7326,607.3819,time,4,53.4005,False
IWM,2012-02-03,2012-02-09,67.8364,67.7788,495.8175,-28.5585,8.5052,-37.0636,time,4,65.8763,False
SPY,2012-02-21,2012-02-27,106.2279,106.562,321.5209,107.4178,6.6916,100.7262,time,4,104.2368,False
IWM,2012-03-08,2012-03-14,65.8046,67.7623,519.5391,1017.0893,8.9103,1008.179,time,4,63.6554,False
SPY,2012-03-13,2012-03-19,107.4632,109.9084,320.0326,782.5381,6.7488,775.7892,time,4,105.6453,False
QQQ,2012-03-13,2012-03-19,57.765,59.2698,594.2922,894.3039,9.5969,884.707,time,4,56.6243,False
SPY,2012-05-29,2012-06-01,103.9078,100.9815,337.5845,-987.8484,6.9158,-994.7642,stop,3,101.0384,False
QQQ,2012-05-29,2012-06-01,55.43,53.5429,631.1276,-1190.9758,10.0033,-1200.9791,stop,3,53.5429,False
IWM,2012-05-29,2012-06-01,63.8034,61.3859,546.5817,-1321.3454,9.1298,-1330.4752,stop,3,61.558,False
SPY,2012-06-19,2012-06-25,105.9521,102.7402,319.9769,-1027.7476,6.645,-1034.3927,stop,4,102.7402,False
QQQ,2012-06-27,2012-07-03,55.6549,57.5438,602.9553,1138.9022,9.7914,1129.1108,time,4,53.8397,False
IWM,2012-07-10,2012-07-12,67.0058,64.7644,505.5576,-1133.1755,8.6672,-1141.8427,stop,2,64.7644,False
SPY,2012-07-10,2012-07-16,106.6816,106.2266,318.085,-144.7127,6.6747,-151.3874,time,4,103.7749,False
QQQ,2012-07-17,2012-07-23,56.3998,56.2757,594.0217,-73.7601,9.6159,-83.376,time,4,54.6858,False
QQQ,2012-07-26,2012-08-01,56.2579,57.2955,595.026,617.3803,9.616,607.7643,time,4,54.3843,False
SPY,2012-08-07,2012-08-13,109.9524,110.4152,306.2919,141.7439,6.5307,135.2131,time,4,107.1466,False
IWM,2012-08-07,2012-08-13,66.2098,66.1601,507.9547,-25.2566,8.702,-33.9587,time,4,63.849,False
QQQ,2012-08-16,2012-08-22,59.8317,60.683,563.4349,479.6595,9.272,470.3875,time,4,58.4876,False
IWM,2012-09-06,2012-09-12,68.4735,70.0572,494.6158,783.3379,8.5521,774.7857,time,4,66.7891,False
IWM,2012-09-19,2012-09-25,71.2595,69.6478,478.902,-771.8861,8.3466,-780.2327,time,4,69.4851,False
QQQ,2012-10-05,2012-10-08,61.9855,60.7271,546.3575,-687.5641,9.0172,-696.5813,stop,1,60.7271,False
IWM,2012-10-11,2012-10-17,69.1733,69.9224,486.2293,364.2674,8.4052,355.8622,time,4,67.384,False
SPY,2012-11-06,2012-11-08,112.1953,109.619,300.8387,-775.0541,6.4275,-781.4816,stop,2,109.619,False
SPY,2012-11-23,2012-11-29,110.4999,112.0691,303.097,475.6238,6.5,469.1238,time,4,107.464,False
QQQ,2012-12-03,2012-12-05,58.9708,57.4881,570.5976,-845.9823,9.2808,-855.2632,stop,2,57.4881,False
SPY,2012-12-11,2012-12-17,112.8103,113.3702,295.7485,165.5873,6.3723,159.215,time,4,110.8367,False
IWM,2012-12-11,2012-12-17,69.1816,69.5229,481.5811,164.3422,8.3409,156.0013,time,4,67.7653,False
SPY,2012-12-26,2012-12-27,113.2769,111.2157,295.4579,-609.0065,6.3275,-615.334,stop,1,111.2157,False
IWM,2012-12-26,2012-12-27,70.5029,68.958,474.375,-732.8697,8.2079,-741.0776,stop,1,68.958,False
IWM,2013-01-09,2013-01-15,73.0637,73.6934,451.8852,284.5612,8.0557,276.5055,time,4,71.1747,False
SPY,2013-01-10,2013-01-16,116.525,116.7791,283.6018,72.065,6.2291,65.8359,time,4,114.0427,False
IWM,2013-01-17,2013-01-24,73.811,74.9697,448.8563,520.0734,8.0389,512.0345,time,4,72.1641,False
SPY,2013-03-05,2013-03-11,122.0284,123.9105,272.8972,513.6306,6.1586,507.472,time,4,119.4905,False
QQQ,2013-03-05,2013-03-11,60.882,61.6779,546.0844,434.6329,9.0356,425.5973,time,4,59.5049,False
IWM,2013-03-25,2013-04-01,79.2473,78.4389,424.1438,-342.8496,7.7266,-350.5762,time,4,77.8283,False
SPY,2013-04-25,2013-05-01,126.3043,126.2565,265.1958,-12.6831,6.0878,-18.7709,time,4,123.3119,False
IWM,2013-04-25,2013-05-01,78.3295,77.3107,427.1945,-435.2267,7.8649,-443.0917,time,4,75.6532,False
QQQ,2013-04-29,2013-05-03,62.5557,64.6441,535.0498,1117.4239,9.0366,1108.3873,time,4,60.8129,False
SPY,2013-05-07,2013-05-13,129.3275,130.4522,260.6629,293.1784,6.0733,287.1051,time,4,126.8809,False
QQQ,2013-05-07,2013-05-13,65.0027,65.5584,518.2186,287.9903,8.826,279.1643,time,4,63.3983,False
IWM,2013-05-07,2013-05-13,80.4176,81.47,418.6344,440.5971,7.8349,432.7622,time,4,77.983,False
IWM,2013-06-26,2013-07-02,81.268,82.9433,418.9091,701.7996,7.8743,693.9252,time,4,78.4762,False
SPY,2013-07-09,2013-07-15,132.2972,134.8392,259.0773,658.5901,6.141,652.4491,time,4,128.7568,False
QQQ,2013-07-09,2013-07-15,65.631,67.8609,521.1388,1162.1077,8.9587,1153.149,time,4,63.8996,False
IWM,2013-07-09,2013-07-15,85.1589,87.5944,400.9944,976.6206,7.7251,968.8955,time,4,82.5812,False
QQQ,2013-07-16,2013-07-22,67.9149,67.2674,518.2963,-335.5634,8.9177,-344.4811,time,4,66.5006,False
IWM,2013-07-22,2013-07-26,88.3556,88.0511,397.0911,-120.8897,7.6475,-128.5372,time,4,86.5506,False
SPY,2013-07-23,2013-07-29,136.1624,135.192,257.7035,-250.0605,6.1253,-256.1858,time,4,134.0603,False
IWM,2013-08-26,2013-08-27,87.4084,85.3534,399.9268,-821.8362,7.6881,-829.5243,stop,1,85.3534,False
SPY,2013-09-06,2013-09-12,133.5241,135.4807,259.7318,508.1999,6.1638,502.0361,time,4,131.0279,False
QQQ,2013-09-06,2013-09-12,69.3266,70.1448,499.6819,408.8604,8.7316,400.1288,time,4,67.8275,False
IWM,2013-09-06,2013-09-12,86.8502,88.1526,398.3969,518.8557,7.7368,511.1188,time,4,84.4739,False
SPY,2013-10-22,2013-10-28,140.9437,142.0074,249.4014,265.2846,6.1044,259.1802,time,4,137.915,False
QQQ,2013-10-22,2013-10-28,74.5402,74.7837,471.1066,114.7153,8.4802,106.2351,time,4,72.6553,False
IWM,2013-11-18,2013-11-22,94.3905,94.8399,373.6959,167.9319,7.4621,160.4698,time,4,91.9291,False
SPY,2013-11-29,2013-12-04,146.1089,144.0541,241.7843,-496.8213,5.9881,-502.8094,stop,3,144.0541,False
QQQ,2013-12-06,2013-12-12,77.6517,76.6235,452.7816,-465.5316,8.1797,-473.7113,time,4,76.4071,False
SPY,2013-12-26,2014-01-02,148.5387,148.1985,235.6378,-80.1729,5.9196,-86.0925,time,4,146.2034,False
QQQ,2013-12-26,2014-01-02,79.2645,78.9569,441.2351,-135.7116,8.0636,-143.7752,time,4,77.8216,False
IWM,2013-12-26,2014-01-02,98.4226,97.1288,355.118,-459.4409,7.2125,-466.6534,time,4,96.1241,False
IWM,2014-02-07,2014-02-13,93.6049,96.95,371.4462,1242.5525,7.5137,1235.0387,time,4,90.3764,False
SPY,2014-02-11,2014-02-18,145.9624,149.2679,238.9704,789.9248,6.0116,783.9132,time,4,142.3177,False
QQQ,2014-02-11,2014-02-18,79.6083,81.653,438.0199,895.6283,8.1741,887.4542,time,4,77.3232,False
SPY,2014-03-06,2014-03-12,152.4843,151.7309,234.3715,-176.5819,5.9638,-182.5457,time,4,149.6324,False
QQQ,2014-03-06,2014-03-12,82.9186,82.2736,430.6375,-277.7762,8.0114,-285.7876,time,4,81.2135,False
IWM,2014-03-06,2014-03-12,102.2444,100.7974,348.9592,-504.9591,7.1949,-512.154,time,4,99.4489,False
SPY,2014-04-02,2014-04-07,153.3852,150.0437,230.8641,-771.4291,5.872,-777.3011,stop,3,150.0437,False
SPY,2014-04-22,2014-04-28,152.3599,152.0751,230.7172,-65.6979,5.9044,-71.6024,time,4,149.0188,False
QQQ,2014-04-22,2014-04-28,79.3476,78.7375,442.8512,-270.174,8.1948,-278.3688,time,4,76.4467,False
IWM,2014-04-22,2014-04-28,96.97,94.6914,361.9416,-824.6998,7.3206,-832.0204,time,4,93.2699,False
SPY,2014-05-27,2014-06-02,155.4765,156.9739,223.5581,334.7414,5.7871,328.9543,time,4,153.0039,False
SPY,2014-06-20,2014-06-26,160.2853,159.8029,217.5352,-104.9422,5.6979,-110.6401,time,4,158.4078,False
IWM,2014-06-23,2014-06-27,101.1259,100.9894,344.7327,-47.0673,7.0841,-54.1513,time,4,98.7755,False
QQQ,2014-07-03,2014-07-08,87.1115,85.8319,399.2466,-510.8583,7.5676,-518.4259,stop,2,85.8319,False
SPY,2014-07-03,2014-07-10,161.7243,159.623,215.2599,-452.3412,5.6562,-457.9974,stop,4,159.8369,False
QQQ,2014-07-22,2014-07-28,88.061,88.3532,391.6293,114.4062,7.5533,106.8529,time,4,86.2572,False
QQQ,2014-08-11,2014-08-15,86.9836,88.9284,396.8897,771.8471,7.6347,764.2124,time,4,85.0885,False
SPY,2014-08-13,2014-08-19,158.8626,162.215,217.4191,728.8775,5.7392,723.1383,time,4,155.6913,False
