z_lookback,z_threshold,iwm_heavy_pct,min_hold_days,dma_window,sharpe,cagr,max_drawdown,total_return,trade_count,position_switches,win_rate,profit_factor,avg_ppt_bps,avg_cost_bps
45,0.75,0.7,3,150,0.5211,0.0628,-0.2775,1.6497,478,477,0.5711,1.3583,24.99,1.9211
45,0.75,0.7,3,200,0.4473,0.0529,-0.2966,1.2798,464,463,0.5582,1.2881,22.44,1.5819
45,0.75,0.7,5,150,0.5707,0.0704,-0.2513,1.9701,382,381,0.5785,1.4322,33.74,1.8386
45,0.75,0.7,5,200,0.5985,0.0754,-0.255,2.1985,378,377,0.5873,1.4564,35.89,1.5408
45,1.0,0.55,2,150,0.4966,0.0586,-0.2581,1.4881,568,567,0.5581,1.3089,19.92,1.5984
45,1.0,0.55,2,200,0.4642,0.0545,-0.2709,1.3385,551,550,0.5735,1.2792,19.09,1.2295
45,1.0,0.55,3,150,0.5558,0.0668,-0.226,1.8126,488,487,0.5861,1.3693,25.29,1.5878
45,1.0,0.55,3,200,0.5274,0.0636,-0.2864,1.6805,478,477,0.5858,1.3345,24.63,1.2255
45,1.0,0.55,5,150,0.559,0.0673,-0.2306,1.8357,391,390,0.5806,1.4051,31.6,1.5789
45,1.0,0.55,5,200,0.6539,0.0815,-0.2089,2.5019,389,388,0.5938,1.4769,36.98,1.269
45,1.0,0.6,2,150,0.5004,0.0592,-0.2576,1.5093,568,567,0.5581,1.3124,20.15,1.679
45,1.0,0.6,2,200,0.4663,0.0549,-0.2704,1.3508,551,550,0.5717,1.2816,19.27,1.3165
45,1.0,0.6,3,150,0.5592,0.0673,-0.2205,1.8343,488,487,0.584,1.3722,25.53,1.6687
45,1.0,0.6,3,200,0.5283,0.0638,-0.286,1.6884,478,477,0.5795,1.3359,24.79,1.3126
45,1.0,0.6,5,150,0.5614,0.0677,-0.2303,1.8521,391,390,0.5754,1.4079,31.83,1.6615
45,1.0,0.6,5,200,0.6591,0.0823,-0.2082,2.5461,389,388,0.5861,1.4826,37.4,1.357
45,1.0,0.65,2,150,0.504,0.0597,-0.257,1.5303,568,567,0.5581,1.3155,20.38,1.7601
45,1.0,0.65,2,200,0.4681,0.0552,-0.27,1.3628,551,550,0.5699,1.2838,19.46,1.4039
45,1.0,0.65,3,150,0.5622,0.0678,-0.2149,1.8559,488,487,0.582,1.3744,25.77,1.7502
45,1.0,0.65,3,200,0.529,0.064,-0.2856,1.6961,478,477,0.5774,1.3371,24.94,1.4003
45,1.0,0.65,5,150,0.5635,0.0681,-0.2299,1.8681,391,390,0.5729,1.4101,32.07,1.7446
45,1.0,0.65,5,200,0.664,0.0832,-0.2075,2.5903,389,388,0.5835,1.4878,37.82,1.4456
45,1.0,0.7,2,150,0.5074,0.0603,-0.2565,1.5511,568,567,0.5581,1.3185,20.61,1.8416
45,1.0,0.7,2,200,0.4697,0.0555,-0.2695,1.3745,551,550,0.5699,1.2859,19.64,1.4918
45,1.0,0.7,3,150,0.5651,0.0683,-0.2108,1.8772,488,487,0.582,1.3766,26.01,1.8321
45,1.0,0.7,3,200,0.5295,0.0641,-0.2852,1.7034,478,477,0.5795,1.3381,25.09,1.4884
45,1.0,0.7,5,150,0.5654,0.0684,-0.2296,1.8838,391,390,0.578,1.4121,32.31,1.8282
45,1.0,0.7,5,200,0.6687,0.084,-0.2068,2.6345,389,388,0.5887,1.4928,38.23,1.5346
45,1.25,0.55,2,150,0.4849,0.0572,-0.2594,1.4343,541,540,0.5582,1.3056,20.64,1.6972
45,1.25,0.55,2,200,0.455,0.0531,-0.2834,1.2894,522,521,0.5728,1.2759,19.86,1.2915
45,1.25,0.55,3,150,0.5092,0.0611,-0.2616,1.5819,472,471,0.5763,1.334,24.51,1.6093
45,1.25,0.55,3,200,0.5044,0.061,-0.2721,1.5799,460,459,0.5717,1.3199,24.95,1.2682
