date_entry,date_exit,state,spy_w,iwm_w,shy_w,nav_entry,nav_exit,pnl_pct,pnl_dollar,hold_days,exit_reason,cost_bps
2010-11-17,2010-11-22,neutral,0.5,0.5,0.0,105472.8563,107153.6425,0.015936,1680.7862,3,state_change,0.2473
2010-11-22,2011-01-05,spy_heavy,0.6,0.4,0.0,107150.9866,115120.3883,0.074375,7969.4017,30,state_change,0.2479
2011-01-05,2011-01-24,neutral,0.5,0.5,0.0,115117.8823,115014.4473,-0.000899,-103.435,12,state_change,0.2177
2011-01-24,2011-01-27,iwm_heavy,0.4,0.6,0.0,115011.5688,117233.4347,0.019319,2221.8659,3,state_change,0.2503
2011-01-27,2011-02-24,neutral,0.5,0.5,0.0,117230.6392,118386.265,0.009858,1155.6258,19,state_change,0.2385
2011-02-24,2011-03-01,iwm_heavy,0.4,0.6,0.0,118383.5512,121684.2973,0.027882,3300.7461,3,state_change,0.2292
2011-03-01,2011-03-22,neutral,0.5,0.5,0.0,121681.4583,119329.7997,-0.019326,-2351.6586,15,state_change,0.2333
2011-03-22,2011-03-25,spy_heavy,0.6,0.4,0.0,119326.9921,120594.565,0.010623,1267.5729,3,state_change,0.2353
2011-03-25,2011-03-30,neutral,0.5,0.5,0.0,120591.8018,122068.905,0.012249,1477.1032,3,state_change,0.2291
2011-03-30,2011-04-13,spy_heavy,0.6,0.4,0.0,122066.1149,121501.1753,-0.004628,-564.9396,10,state_change,0.2286
2011-04-13,2011-04-18,neutral,0.5,0.5,0.0,121498.4121,120519.0644,-0.008061,-979.3477,3,state_change,0.2274
2011-04-18,2011-05-03,spy_heavy,0.6,0.4,0.0,120516.2877,125271.5846,0.039458,4755.2969,10,state_change,0.2304
2011-05-03,2011-05-17,neutral,0.5,0.5,0.0,125268.7709,121074.4589,-0.033483,-4194.312,10,state_change,0.2246
2011-05-17,2011-05-20,iwm_heavy,0.4,0.6,0.0,121071.5741,123111.8109,0.016851,2040.2368,3,state_change,0.2383
2011-05-20,2011-05-25,neutral,0.5,0.5,0.0,123108.9928,119941.7644,-0.025727,-3167.2284,3,state_change,0.2289
2011-05-25,2011-05-31,iwm_heavy,0.4,0.6,0.0,119938.9685,124583.3535,0.038723,4644.385,3,state_change,0.2331
2011-05-31,2011-06-07,neutral,0.5,0.5,0.0,124580.4228,118872.5183,-0.045817,-5707.9045,5,state_change,0.2352
2011-06-07,2011-06-22,iwm_heavy,0.4,0.6,0.0,118869.6632,119026.3159,0.001318,156.6527,11,state_change,0.2402
2011-06-22,2011-07-08,neutral,0.5,0.5,0.0,119023.5613,124680.8146,0.047531,5657.2533,11,state_change,0.2314
2011-07-08,2011-07-13,spy_heavy,0.6,0.4,0.0,124677.8871,122974.4573,-0.013663,-1703.4298,3,state_change,0.2348
2011-07-13,2011-07-28,neutral,0.5,0.5,0.0,122971.676,119756.0829,-0.026149,-3215.5931,11,state_change,0.2262
2011-07-28,2011-08-03,iwm_heavy,0.4,0.6,0.0,119753.1235,115002.7186,-0.039668,-4750.4049,4,state_change,0.2471
2011-08-03,2011-10-28,shy,0.0,0.0,1.0,114922.3775,115048.7515,0.0011,126.374,61,state_change,6.986
2011-10-28,2011-11-02,spy_heavy,0.6,0.4,0.0,114969.0557,110500.6793,-0.038866,-4468.3764,3,state_change,6.9271
2011-11-02,2011-11-09,shy,0.0,0.0,1.0,110423.9097,110423.9097,-0.0,-0.0,5,state_change,6.9474
2011-11-09,2011-11-14,spy_heavy,0.6,0.4,0.0,110347.2022,111506.729,0.010508,1159.5268,3,state_change,6.9466
2011-11-14,2011-11-17,neutral,0.5,0.5,0.0,111504.0663,109604.9393,-0.017032,-1899.127,3,state_change,0.2388
2011-11-17,2011-12-06,shy,0.0,0.0,1.0,109528.3551,109560.7969,0.000296,32.4418,12,state_change,6.9873
2011-12-06,2011-12-09,spy_heavy,0.6,0.4,0.0,109484.8386,107246.2187,-0.020447,-2238.6199,3,state_change,6.933
2011-12-09,2011-12-23,shy,0.0,0.0,1.0,107171.7828,107070.2096,-0.000948,-101.5732,10,state_change,6.9407
2011-12-23,2011-12-29,spy_heavy,0.6,0.4,0.0,106996.043,106305.179,-0.006457,-690.864,3,state_change,6.9269
2011-12-29,2012-01-13,neutral,0.5,0.5,0.0,106302.6047,109511.768,0.030189,3209.1633,10,state_change,0.2422
2012-01-13,2012-01-23,spy_heavy,0.6,0.4,0.0,109509.1789,112171.1547,0.024308,2661.9758,5,state_change,0.2364
2012-01-23,2012-01-26,neutral,0.5,0.5,0.0,112168.6176,114014.6766,0.016458,1846.059,3,state_change,0.2262
2012-01-26,2012-02-22,spy_heavy,0.6,0.4,0.0,114012.0416,116814.8744,0.024584,2802.8328,18,state_change,0.2311
2012-02-22,2012-03-05,neutral,0.5,0.5,0.0,116812.2803,115761.4808,-0.008996,-1050.7995,8,state_change,0.2221
2012-03-05,2012-03-09,iwm_heavy,0.4,0.6,0.0,115758.6766,116286.4439,0.004559,527.7673,4,state_change,0.2422
2012-03-09,2012-04-02,neutral,0.5,0.5,0.0,116283.7965,119600.5527,0.028523,3316.7562,16,state_change,0.2277
2012-04-02,2012-04-27,iwm_heavy,0.4,0.6,0.0,119597.8993,119090.6709,-0.004241,-507.2284,18,state_change,0.2219
2012-04-27,2012-05-02,neutral,0.5,0.5,0.0,119088.0634,118031.2603,-0.008874,-1056.8031,3,state_change,0.2189
2012-05-02,2012-05-09,iwm_heavy,0.4,0.6,0.0,118028.566,114073.9496,-0.033506,-3954.6164,5,state_change,0.2283
2012-05-09,2012-05-18,neutral,0.5,0.5,0.0,114071.3459,110411.9302,-0.03208,-3659.4157,7,state_change,0.2282
2012-05-18,2012-05-29,iwm_heavy,0.4,0.6,0.0,110409.3155,112715.8078,0.02089,2306.4923,6,state_change,0.2368
2012-05-29,2012-06-04,neutral,0.5,0.5,0.0,112713.1541,108333.0196,-0.038861,-4380.1345,4,state_change,0.2354
2012-06-04,2012-06-07,iwm_heavy,0.4,0.6,0.0,108330.44,113176.9998,0.044739,4846.5598,3,state_change,0.2381
2012-06-07,2012-06-12,neutral,0.5,0.5,0.0,113174.3534,110844.3945,-0.020587,-2329.9589,3,state_change,0.2338
2012-06-12,2012-06-20,iwm_heavy,0.4,0.6,0.0,110841.7125,115244.6285,0.039723,4402.916,6,state_change,0.242
2012-06-20,2012-07-02,neutral,0.5,0.5,0.0,115241.9617,116775.1797,0.013304,1533.218,8,state_change,0.2314
2012-07-02,2012-07-18,spy_heavy,0.6,0.4,0.0,116772.4443,116359.5598,-0.003536,-412.8845,11,state_change,0.2342
2012-07-18,2012-07-25,neutral,0.5,0.5,0.0,116356.927,113673.9622,-0.023058,-2682.9648,5,state_change,0.2263
2012-07-25,2012-08-10,iwm_heavy,0.4,0.6,0.0,113671.2328,118099.9845,0.038961,4428.7517,12,state_change,0.2401
2012-08-10,2012-08-15,neutral,0.5,0.5,0.0,118097.3841,118061.681,-0.000302,-35.7031,3,state_change,0.2202
2012-08-15,2012-08-20,iwm_heavy,0.4,0.6,0.0,118058.9717,120481.0809,0.020516,2422.1092,3,state_change,0.2295
2012-08-20,2012-09-17,neutral,0.5,0.5,0.0,120478.2951,125824.0482,0.044371,5345.7531,19,state_change,0.2312
2012-09-17,2012-09-20,spy_heavy,0.6,0.4,0.0,125821.2116,124861.9961,-0.007624,-959.2155,3,state_change,0.2254
2012-09-20,2012-11-13,neutral,0.5,0.5,0.0,124859.2678,117112.4004,-0.062045,-7746.8674,36,state_change,0.2185
2012-11-13,2012-11-16,iwm_heavy,0.4,0.6,0.0,117109.6363,114758.4518,-0.020077,-2351.1845,3,state_change,0.236
2012-11-16,2012-11-21,shy,0.0,0.0,1.0,114678.8321,114624.4273,-0.000474,-54.4048,3,state_change,6.938
2012-11-21,2012-11-27,iwm_heavy,0.4,0.6,0.0,114545.0384,116171.5614,0.0142,1626.523,3,state_change,6.926
2012-11-27,2012-12-12,neutral,0.5,0.5,0.0,116168.9459,119595.3493,0.029495,3426.4034,11,state_change,0.2251
2012-12-12,2012-12-17,spy_heavy,0.6,0.4,0.0,119592.6452,118264.2453,-0.011108,-1328.3999,3,state_change,0.2261
2012-12-17,2012-12-20,neutral,0.5,0.5,0.0,118261.6454,120619.755,0.01994,2358.1096,3,state_change,0.2198
2012-12-20,2013-01-31,spy_heavy,0.6,0.4,0.0,120617.0604,126624.1735,0.049803,6007.1131,27,state_change,0.2234
2013-01-31,2013-02-05,neutral,0.5,0.5,0.0,126621.5747,127414.3202,0.006261,792.7455,3,state_change,0.2052
2013-02-05,2013-02-22,spy_heavy,0.6,0.4,0.0,127411.6014,128216.0299,0.006314,804.4285,12,state_change,0.2134
2013-02-22,2013-03-11,neutral,0.5,0.5,0.0,128213.3537,132116.3509,0.030441,3902.9972,11,state_change,0.2087
2013-03-11,2013-04-01,spy_heavy,0.6,0.4,0.0,132113.5791,133747.9382,0.012371,1634.3591,14,state_change,0.2098
2013-04-01,2013-04-04,neutral,0.5,0.5,0.0,133745.1939,131114.5627,-0.019669,-2630.6312,3,state_change,0.2052
2013-04-04,2013-05-01,iwm_heavy,0.4,0.6,0.0,131111.6728,134625.7563,0.026802,3514.0835,19,state_change,0.2204
2013-05-01,2013-05-06,neutral,0.5,0.5,0.0,134622.9652,136267.4489,0.012215,1644.4837,3,state_change,0.2073
2013-05-06,2013-05-09,iwm_heavy,0.4,0.6,0.0,136264.6385,138132.7987,0.01371,1868.1602,3,state_change,0.2062
2013-05-09,2013-06-14,neutral,0.5,0.5,0.0,138129.9586,139871.539,0.012608,1741.5804,25,state_change,0.2056
2013-06-14,2013-06-27,spy_heavy,0.6,0.4,0.0,139868.6138,137877.7397,-0.014234,-1990.8741,9,state_change,0.2091
2013-06-27,2013-07-02,neutral,0.5,0.5,0.0,137874.9112,139267.301,0.010099,1392.3898,3,state_change,0.2051
2013-07-02,2013-08-08,spy_heavy,0.6,0.4,0.0,139264.3474,147343.8646,0.058016,8079.5172,26,state_change,0.2121
2013-08-08,2013-08-13,neutral,0.5,0.5,0.0,147341.038,147362.3456,0.000145,21.3076,3,state_change,0.1918
2013-08-13,2013-08-16,spy_heavy,0.6,0.4,0.0,147359.4204,143994.928,-0.022832,-3364.4924,3,state_change,0.1985
2013-08-16,2013-08-21,neutral,0.5,0.5,0.0,143992.0265,143499.6172,-0.00342,-492.4093,3,state_change,0.2015
2013-08-21,2013-08-28,spy_heavy,0.6,0.4,0.0,143496.7395,141922.8874,-0.010968,-1573.8521,5,state_change,0.2005
2013-08-28,2013-09-10,neutral,0.5,0.5,0.0,141920.0549,147051.2663,0.036156,5131.2114,8,state_change,0.1996
2013-09-10,2013-09-13,spy_heavy,0.6,0.4,0.0,147048.3294,147310.3143,0.001782,261.9849,3,state_change,0.1997
2013-09-13,2013-09-18,neutral,0.5,0.5,0.0,147307.4029,149154.3139,0.012538,1846.911,3,state_change,0.1976
2013-09-18,2013-10-10,spy_heavy,0.6,0.4,0.0,149151.3852,147203.5458,-0.013059,-1947.8394,16,state_change,0.1964
2013-10-10,2013-10-15,neutral,0.5,0.5,0.0,147200.7337,150706.111,0.023814,3505.3773,3,state_change,0.191
2013-10-15,2013-10-29,spy_heavy,0.6,0.4,0.0,150703.1283,155813.0981,0.033908,5109.9698,10,state_change,0.1979
2013-10-29,2013-11-04,neutral,0.5,0.5,0.0,155810.0902,154374.0057,-0.009217,-1436.0845,4,state_change,0.1931
2013-11-04,2013-11-13,iwm_heavy,0.4,0.6,0.0,154370.9031,153669.4126,-0.004544,-701.4905,7,state_change,0.201
2013-11-13,2013-11-18,neutral,0.5,0.5,0.0,153666.4795,157406.2167,0.024337,3739.7372,3,state_change,0.1909
2013-11-18,2013-11-22,iwm_heavy,0.4,0.6,0.0,157403.235,157248.6337,-0.000982,-154.6013,4,state_change,0.1894
2013-11-22,2013-12-11,neutral,0.5,0.5,0.0,157245.6358,157782.0963,0.003412,536.4605,12,state_change,0.1906
2013-12-11,2013-12-16,iwm_heavy,0.4,0.6,0.0,157779.0893,156353.9823,-0.009032,-1425.107,3,state_change,0.1906
2013-12-16,2014-01-16,neutral,0.5,0.5,0.0,156350.993,163269.8336,0.044252,6918.8406,21,state_change,0.1912
2014-01-16,2014-01-28,spy_heavy,0.6,0.4,0.0,163266.658,157684.1079,-0.034193,-5582.5501,7,state_change,0.1945
2014-01-28,2014-01-31,neutral,0.5,0.5,0.0,157681.0973,156701.9537,-0.00621,-979.1436,3,state_change,0.1909
2014-01-31,2014-02-05,spy_heavy,0.6,0.4,0.0,156698.9654,154139.7516,-0.016332,-2559.2138,3,state_change,0.1907
2014-02-05,2014-02-10,neutral,0.5,0.5,0.0,154136.7164,157708.6209,0.023174,3571.9045,3,state_change,0.1969
2014-02-10,2014-02-14,iwm_heavy,0.4,0.6,0.0,157705.5402,161242.0114,0.022425,3536.4712,4,state_change,0.1953
2014-02-14,2014-02-25,neutral,0.5,0.5,0.0,161238.91,164360.2926,0.019359,3121.3826,6,state_change,0.1923
2014-02-25,2014-03-03,spy_heavy,0.6,0.4,0.0,164357.1173,164059.7517,-0.001809,-297.3656,4,state_change,0.1932
2014-03-03,2014-03-06,neutral,0.5,0.5,0.0,164056.7005,168172.6262,0.025088,4115.9257,3,state_change,0.186
2014-03-06,2014-03-12,spy_heavy,0.6,0.4,0.0,168169.4494,165627.3267,-0.015116,-2542.1227,4,state_change,0.1889
2014-03-12,2014-03-17,neutral,0.5,0.5,0.0,165624.164,165885.2488,0.001576,261.0848,3,state_change,0.1909
2014-03-17,2014-03-24,spy_heavy,0.6,0.4,0.0,165882.0939,167471.7915,0.009583,1589.6976,5,state_change,0.1902
2014-03-24,2014-03-27,neutral,0.5,0.5,0.0,167468.6746,163674.0897,-0.022658,-3794.5849,3,state_change,0.1861
2014-03-27,2014-04-02,iwm_heavy,0.4,0.6,0.0,163670.8557,168061.101,0.026824,4390.2453,4,state_change,0.1976
2014-04-02,2014-04-07,neutral,0.5,0.5,0.0,168057.9231,163842.5018,-0.025083,-4215.4213,3,state_change,0.1891
2014-04-07,2014-05-28,iwm_heavy,0.4,0.6,0.0,163839.254,165267.5413,0.008718,1428.2873,35,state_change,0.1982
2014-05-28,2014-06-02,neutral,0.5,0.5,0.0,165264.7245,165692.1072,0.002586,427.3827,3,state_change,0.1704
2014-06-02,2014-06-06,iwm_heavy,0.4,0.6,0.0,165688.9467,168282.7871,0.015655,2593.8404,4,state_change,0.1908
2014-06-06,2014-07-02,neutral,0.5,0.5,0.0,168279.6057,173095.1615,0.028616,4815.5558,18,state_change,0.189
2014-07-02,2014-07-08,spy_heavy,0.6,0.4,0.0,173091.8228,171957.2951,-0.006554,-1134.5277,3,state_change,0.1929
2014-07-08,2014-07-14,neutral,0.5,0.5,0.0,171954.019,171357.129,-0.003471,-596.89,4,state_change,0.1905
2014-07-14,2014-08-06,iwm_heavy,0.4,0.6,0.0,171353.8993,164021.2714,-0.042792,-7332.6279,17,state_change,0.1885
2014-08-06,2014-09-16,neutral,0.5,0.5,0.0,164018.3294,169541.4653,0.033674,5523.1359,28,state_change,0.1794
2014-09-16,2014-10-14,iwm_heavy,0.4,0.6,0.0,169538.262,158973.9077,-0.062313,-10564.3543,20,state_change,0.1889
2014-10-14,2014-10-21,shy,0.0,0.0,1.0,158866.6556,158922.9672,0.000354,56.3116,5,state_change,6.7465
2014-10-21,2014-12-02,neutral,0.5,0.5,0.0,158816.3885,168787.7345,0.062785,9971.346,29,state_change,6.7063
2014-12-02,2014-12-05,iwm_heavy,0.4,0.6,0.0,168784.4959,171450.67,0.015796,2666.1741,3,state_change,0.1919
2014-12-05,2014-12-18,neutral,0.5,0.5,0.0,171447.4907,171041.3254,-0.002369,-406.1653,9,state_change,0.1854
2014-12-18,2014-12-23,spy_heavy,0.6,0.4,0.0,171038.0049,174476.7482,0.020105,3438.7433,3,state_change,0.1941
2014-12-23,2014-12-29,neutral,0.5,0.5,0.0,174473.551,174957.6941,0.002775,484.1431,3,state_change,0.1832
2014-12-29,2015-01-07,spy_heavy,0.6,0.4,0.0,174954.4967,168875.02,-0.034749,-6079.4767,6,state_change,0.1828
2015-01-07,2015-01-14,neutral,0.5,0.5,0.0,168871.8832,168071.6606,-0.004739,-800.2226,5,state_change,0.1857
2015-01-14,2015-01-20,spy_heavy,0.6,0.4,0.0,168068.5142,169961.8422,0.011265,1893.328,3,state_change,0.1872
2015-01-20,2015-01-27,neutral,0.5,0.5,0.0,169958.6972,170932.5569,0.00573,973.8597,5,state_change,0.185
2015-01-27,2015-02-02,spy_heavy,0.6,0.4,0.0,170929.3981,168444.5326,-0.014537,-2484.8655,4,state_change,0.1848
2015-02-02,2015-02-06,neutral,0.5,0.5,0.0,168441.435,174068.8724,0.033409,5627.4374,4,state_change,0.1839
2015-02-06,2015-02-11,spy_heavy,0.6,0.4,0.0,174065.7098,173667.7622,-0.002286,-397.9476,3,state_change,0.1817
2015-02-11,2015-02-27,neutral,0.5,0.5,0.0,173664.5658,178281.2959,0.026584,4616.7301,11,state_change,0.1841
2015-02-27,2015-03-04,spy_heavy,0.6,0.4,0.0,178278.051,177367.3172,-0.005109,-910.7338,3,state_change,0.182
2015-03-04,2015-03-09,neutral,0.5,0.5,0.0,177364.1387,175633.409,-0.009758,-1730.7297,3,state_change,0.1792
2015-03-09,2015-04-23,spy_heavy,0.6,0.4,0.0,175630.2207,179929.2988,0.024478,4299.0781,32,state_change,0.1815
2015-04-23,2015-05-01,neutral,0.5,0.5,0.0,179926.2718,176766.0585,-0.017564,-3160.2133,6,state_change,0.1682
