ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,exit_reason,regime_active_at_entry,overnight_gap,weekend_gap,period
XLB,2009-10-29,2009-11-06,10.5698,10.6191,1950,96.14,20.4002,20.4662,40.8664,False,6,RSI_EXIT,True,True,True,IS
XLE,2009-12-09,2009-12-11,16.0782,16.2796,1294,260.57,17.0192,17.1666,34.1858,False,2,RSI_EXIT,True,True,False,IS
XLE,2010-02-01,2010-02-02,16.2068,16.5795,1287,479.65,17.0329,17.2748,34.3076,False,1,RSI_EXIT,True,True,False,IS
XLB,2010-02-01,2010-02-02,10.7696,11.1086,1936,656.25,20.4656,20.7905,41.2561,False,1,RSI_EXIT,True,True,False,IS
XLV,2010-04-19,2010-04-20,24.0976,24.3447,874,216.0,15.0378,15.1585,30.1964,False,1,RSI_EXIT,True,True,False,IS
XLP,2010-04-28,2010-05-06,17.9356,17.8489,1178,-102.16,16.6393,16.6563,33.2957,False,6,MAX_HOLD,True,True,True,IS
SPY,2010-05-10,2010-05-11,87.0183,86.4434,243,-139.7,2.3063,2.2987,4.6051,False,1,RSI_EXIT,True,True,False,IS
QQQ,2010-05-10,2010-05-11,41.2186,41.0825,514,-69.95,3.7157,3.7111,7.4268,False,1,RSI_EXIT,True,True,False,IS
XLK,2010-05-10,2010-05-11,9.1839,9.0917,2311,-213.11,22.5025,22.4113,44.9139,False,1,RSI_EXIT,True,True,False,IS
XLE,2010-05-10,2010-05-11,16.8473,16.7053,1259,-178.78,17.0915,17.0164,34.1078,False,1,RSI_EXIT,True,True,False,IS
XLB,2010-05-07,2010-05-11,11.1683,11.4051,1890,447.54,20.2646,20.5808,40.8454,False,2,RSI_EXIT,True,True,True,IS
SPY,2010-05-21,2010-05-28,79.58,83.1153,264,933.32,2.4054,2.4546,4.86,False,5,RSI_EXIT,False,True,True,IS
XLV,2010-05-21,2010-05-28,21.6526,22.0618,973,398.14,15.6462,15.8603,31.5065,False,5,RSI_EXIT,False,True,True,IS
XLE,2010-05-21,2010-05-28,15.0785,15.8806,1397,1120.66,17.7118,18.3224,36.0343,False,5,RSI_EXIT,False,True,True,IS
XLI,2010-05-21,2010-05-28,21.1438,22.2235,996,1075.38,15.8026,16.3639,32.1665,False,5,RSI_EXIT,False,True,True,IS
XLB,2010-05-21,2010-05-28,10.329,11.0407,2040,1451.86,21.0881,21.8739,42.9619,False,5,RSI_EXIT,False,True,True,IS
QQQ,2010-10-05,2010-10-06,42.8737,43.3575,514,248.67,3.7227,3.7373,7.46,False,1,RSI_EXIT,True,True,False,IS
SPY,2010-11-17,2010-11-19,89.7218,90.9852,245,309.53,2.342,2.3597,4.7017,False,2,RSI_EXIT,True,True,False,IS
QQQ,2010-11-17,2010-11-19,45.0158,45.7704,488,368.28,3.5808,3.6044,7.1852,False,2,RSI_EXIT,True,True,False,IS
XLK,2010-11-15,2010-11-19,9.9707,9.861,2219,-243.36,22.3169,22.2472,44.5641,False,4,RSI_EXIT,True,True,False,IS
XLP,2010-11-17,2010-11-19,18.7599,18.9482,1173,220.87,17.0127,17.1644,34.1771,False,2,RSI_EXIT,True,True,False,IS
XLP,2011-01-10,2011-01-13,19.2761,19.4061,1154,149.95,17.0039,17.1115,34.1155,False,3,RSI_EXIT,True,True,False,IS
XLP,2011-02-01,2011-02-04,19.2894,19.3662,1155,88.66,17.0453,17.1161,34.1614,False,3,RSI_EXIT,True,True,False,IS
QQQ,2011-02-24,2011-02-28,49.6606,50.6966,448,464.11,3.4165,3.4344,6.8509,False,2,RSI_EXIT,True,True,True,IS
XLK,2011-02-24,2011-02-28,10.6567,10.836,2093,375.3,21.8297,22.0206,43.8503,False,2,RSI_EXIT,True,True,True,IS
XLE,2011-03-11,2011-03-18,21.9156,22.9635,1025,1074.06,16.5315,17.0926,33.6241,False,5,RSI_EXIT,True,True,True,IS
XLP,2011-03-17,2011-03-21,19.3626,19.5165,1165,179.28,17.2694,17.3949,34.6642,False,2,RSI_EXIT,True,True,True,IS
QQQ,2011-03-17,2011-03-22,48.1976,48.7505,468,258.75,3.5353,3.5464,7.0817,False,3,RSI_EXIT,True,True,True,IS
XLK,2011-03-17,2011-03-22,10.2356,10.389,2206,338.46,22.5745,22.7666,45.3412,False,3,RSI_EXIT,True,True,True,IS
XLV,2011-03-17,2011-03-22,24.6952,25.1062,914,375.68,16.0648,16.2609,32.3258,False,3,RSI_EXIT,True,True,True,IS
IWM,2011-04-13,2011-04-18,67.1996,66.8575,340,-116.34,2.8921,2.8835,5.7756,False,3,RSI_EXIT,True,True,True,IS
XLE,2011-04-13,2011-04-18,22.9188,22.7718,999,-146.88,16.6035,16.5078,33.1113,False,3,RSI_EXIT,True,True,True,IS
XLB,2011-04-13,2011-04-18,14.503,14.2619,1579,-380.68,19.5099,19.3261,38.8359,False,3,RSI_EXIT,True,True,True,IS
QQQ,2011-04-13,2011-04-21,49.8271,51.2593,459,657.39,3.4859,3.5207,7.0066,False,6,RSI_EXIT,True,True,True,IS
XLI,2011-04-13,2011-04-21,28.207,28.5462,812,275.48,15.6382,15.7787,31.4169,False,6,RSI_EXIT,True,True,True,IS
XLF,2011-04-19,2011-04-25,9.8758,9.899,2296,53.28,22.8898,22.9414,45.8311,False,3,RSI_EXIT,True,True,True,IS
QQQ,2011-05-06,2011-05-10,51.6431,51.6278,444,-6.82,3.4139,3.4138,6.8277,False,2,RSI_EXIT,True,True,True,IS
XLE,2011-05-06,2011-05-10,22.592,22.7897,1017,201.1,16.7307,16.8503,33.581,False,2,RSI_EXIT,True,True,True,IS
XLB,2011-05-06,2011-05-10,14.5911,14.6946,1575,163.1,19.5389,19.6453,39.1842,False,2,RSI_EXIT,True,True,True,IS
XLB,2011-05-18,2011-05-19,14.0441,14.2802,1641,387.47,19.9271,20.1375,40.0646,False,1,RSI_EXIT,True,True,False,IS
XLF,2011-06-09,2011-06-14,9.1293,9.3135,2534,466.66,24.3581,24.6165,48.9746,False,3,RSI_EXIT,True,True,True,IS
SPY,2011-06-09,2011-06-15,98.6772,98.251,234,-99.72,2.3467,2.345,4.6917,False,4,RSI_EXIT,True,True,True,IS
XLK,2011-06-09,2011-06-15,10.307,10.1841,2244,-275.9,22.9677,22.8877,45.8555,False,4,RSI_EXIT,True,True,True,IS
XLF,2011-07-19,2011-07-21,9.1064,9.3717,2543,674.66,24.428,24.8013,49.2293,False,2,RSI_EXIT,True,True,False,IS
SPY,2011-08-01,2011-08-04,100.7604,95.7028,233,-1178.41,2.362,2.3112,4.6732,False,3,STOP_LOSS,True,True,False,IS
IWM,2011-07-28,2011-08-04,65.2081,61.9313,356,-1166.54,3.0142,2.9702,5.9844,False,5,STOP_LOSS,True,True,True,IS
XLP,2011-08-01,2011-08-04,20.963,19.8848,1121,-1208.61,17.5232,16.9893,34.5125,False,3,STOP_LOSS,True,True,False,IS
XLI,2011-07-29,2011-08-04,26.2339,24.8872,884,-1190.55,16.1851,15.6362,31.8212,False,4,STOP_LOSS,True,True,True,IS
XLB,2011-07-29,2011-08-04,13.986,13.2634,1659,-1198.87,20.1094,19.6272,39.7366,False,4,STOP_LOSS,True,True,True,IS
XLP,2012-01-09,2012-01-11,22.0702,21.9967,1001,-73.56,16.2511,16.2134,32.4644,False,2,RSI_EXIT,True,True,False,IS
XLI,2012-03-07,2012-03-09,27.8424,28.4499,793,481.72,15.1356,15.4024,30.538,False,2,RSI_EXIT,True,True,False,IS
SPY,2012-04-11,2012-04-13,107.4169,108.3191,206,185.85,2.1555,2.1676,4.3231,False,2,RSI_EXIT,True,True,False,IS
IWM,2012-04-11,2012-04-13,65.198,66.3114,339,377.45,2.8634,2.8866,5.75,False,2,RSI_EXIT,True,True,False,IS
